AnimalID,Name,DateTime,FoundLocation,Latitude,Longitude,IntakeType,IntakeCondition,AnimalType,IntakeSex,IntakeAge,Breed
A765126,*Dottie,1/29/18 10:58,Coventry Ln in Austin (TX),30.3060634,-97.6844712,Stray,Normal,Dog,Spayed Female,6 years,Pit Bull Mix
A758529,Lobo,1/29/18 11:32,Mcmeans Trail in Austin (TX),30.1976145,-97.9308154,Stray,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A765895,Delilah,1/29/18 14:35,North Lamar Boulevard And West Rundberg Lane in Austin (TX),30.363062,-97.6970274,Stray,Normal,Dog,Intact Female,7 years,Pit Bull Mix
A763868,Jenny,1/29/18 15:18,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull Mix
A712919,Ramos,1/29/18 16:41,Lago Vista (TX),30.4601975,-97.9883477,Owner Surrender,Normal,Dog,Neutered Male,5 years,Pit Bull Mix
A765925,Luna,1/30/18 10:01,1021 Kramer Lane #G in Austin (TX),30.3817757,-97.6928623,Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix
A765923,Keiko,1/30/18 10:01,1021 Kramer Lane #G in Austin (TX),30.3817757,-97.6928623,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A764866,Sancho,1/30/18 12:14,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix
A765962,Riger,1/30/18 14:06,16901 Hayridge Circle in Del Valle (TX),30.1411325,-97.5758163,Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/Pit Bull
A731032,Gabby,1/30/18 15:50,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix
A765977,Pia,1/30/18 17:49,Wickersham Lane And Riverside Drive in Austin (TX),30.2324068,-97.7203283,Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix
A765982,*Lyla,1/31/18 7:56,1912 Wheless Ln in Austin (TX),30.3143625,-97.6882823,Stray,Injured,Dog,Intact Female,4 years,Pit Bull Mix
A720304,Zeus,1/31/18 11:03,Austin (TX),30.267153,-97.7430608,Stray,Normal,Dog,Neutered Male,12 years,Pit Bull Mix
A766034,Max,1/31/18 17:11,15503 Brenda in Travis (TX),30.4528001,-97.6707143,Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix
A766058,*Mya,2/1/18 11:28,212 Hokanson Road in Del Valle (TX),30.0839546,-97.6181571,Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix
A766054,Faith,2/1/18 11:28,212 Hokanson Road in Del Valle (TX),30.0839546,-97.6181571,Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix
A766056,*Tuk-Tuk,2/1/18 11:28,212 Hokanson Road in Del Valle (TX),30.0839546,-97.6181571,Stray,Normal,Dog,Intact Male,1 month,Pit Bull Mix
A766086,Manman,2/1/18 12:45,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,9 years,Pit Bull Mix
